disease,symptom_list,precaution,doctor_type
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated",General Physician
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, skin_rash, vomiting","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated",General Physician
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated",General Physician
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, vomiting","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated",General Physician
Dengue,"back_pain, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated",General Physician
Dengue,"back_pain, chills, fatigue, headache, high_fever, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated",General Physician
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated",General Physician
Dengue,"back_pain, chills, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated",General Physician
Dengue,"back_pain, chills, fatigue, headache, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated",General Physician
Typhoid,"abdominal_pain, belly_pain, chills, constipation, diarrhoea, fatigue, high_fever, nausea, toxic_look_(typhos), vomiting","eat high calorie vegitables, antiboitic therapy, consult doctor, medication",General Physician
Typhoid,"abdominal_pain, belly_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, toxic_look_(typhos), vomiting","eat high calorie vegitables, antiboitic therapy, consult doctor, medication",General Physician
Typhoid,"abdominal_pain, belly_pain, chills, diarrhoea, fatigue, headache, high_fever, nausea, toxic_look_(typhos), vomiting","eat high calorie vegitables, antiboitic therapy, consult doctor, medication",General Physician
Typhoid,"belly_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, toxic_look_(typhos), vomiting","eat high calorie vegitables, antiboitic therapy, consult doctor, medication",General Physician
Typhoid,"abdominal_pain, belly_pain, chills, constipation, fatigue, headache, high_fever, nausea, toxic_look_(typhos), vomiting","eat high calorie vegitables, antiboitic therapy, consult doctor, medication",General Physician
Typhoid,"abdominal_pain, belly_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, vomiting","eat high calorie vegitables, antiboitic therapy, consult doctor, medication",General Physician
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, toxic_look_(typhos), vomiting","eat high calorie vegitables, antiboitic therapy, consult doctor, medication",General Physician
Typhoid,"abdominal_pain, belly_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, toxic_look_(typhos), vomiting","eat high calorie vegitables, antiboitic therapy, consult doctor, medication",General Physician
Typhoid,"abdominal_pain, belly_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, toxic_look_(typhos), vomiting","eat high calorie vegitables, antiboitic therapy, consult doctor, medication",General Physician
Typhoid,"abdominal_pain, belly_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, toxic_look_(typhos)","eat high calorie vegitables, antiboitic therapy, consult doctor, medication",General Physician
Hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin","Consult nearest hospital, wash hands through, avoid fatty spicy food, medication",Gastroenterologist
Hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin","Consult nearest hospital, wash hands through, avoid fatty spicy food, medication",Gastroenterologist
Hepatitis A,"abdominal_pain, dark_urine, diarrhoea, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin","Consult nearest hospital, wash hands through, avoid fatty spicy food, medication",Gastroenterologist
Hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, yellowing_of_eyes, yellowish_skin","Consult nearest hospital, wash hands through, avoid fatty spicy food, medication",Gastroenterologist
Hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes","Consult nearest hospital, wash hands through, avoid fatty spicy food, medication",Gastroenterologist
Hepatitis A,"abdominal_pain, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin","Consult nearest hospital, wash hands through, avoid fatty spicy food, medication",Gastroenterologist
Hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, vomiting, yellowing_of_eyes, yellowish_skin","Consult nearest hospital, wash hands through, avoid fatty spicy food, medication",Gastroenterologist
Hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin","Consult nearest hospital, wash hands through, avoid fatty spicy food, medication",Gastroenterologist
Hepatitis A,"dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin","Consult nearest hospital, wash hands through, avoid fatty spicy food, medication",Gastroenterologist
Hepatitis A,"abdominal_pain, dark_urine, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin","Consult nearest hospital, wash hands through, avoid fatty spicy food, medication",Gastroenterologist
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, yellowing_of_eyes, yellowish_skin","consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, yellowing_of_eyes, yellowish_skin","consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist
Hepatitis B,"abdominal_pain, dark_urine, fatigue, lethargy, loss_of_appetite, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, yellowing_of_eyes, yellowish_skin","consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist
Hepatitis B,"abdominal_pain, dark_urine, itching, lethargy, loss_of_appetite, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, yellowing_of_eyes, yellowish_skin","consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, loss_of_appetite, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, yellowing_of_eyes, yellowish_skin","consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, yellowing_of_eyes","consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist
Hepatitis B,"abdominal_pain, fatigue, itching, lethargy, loss_of_appetite, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, yellowing_of_eyes, yellowish_skin","consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, yellowing_of_eyes, yellowish_skin","consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist
Hepatitis B,"dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, yellowing_of_eyes, yellowish_skin","consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellowing_of_eyes, yellowish_skin","consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowish_skin","Consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin","Consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist
Hepatitis C,"family_history, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin","Consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes","Consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist
Hepatitis C,"family_history, fatigue, loss_of_appetite, yellowing_of_eyes, yellowish_skin","Consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist
Hepatitis C,"family_history, fatigue, nausea, yellowing_of_eyes, yellowish_skin","Consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowish_skin","Consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist
Hepatitis C,"fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin","Consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin","Consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin","Consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin","consult doctor, medication, eat healthy, follow up",Gastroenterologist
Hepatitis D,"abdominal_pain, dark_urine, fatigue, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin","consult doctor, medication, eat healthy, follow up",Gastroenterologist
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin","consult doctor, medication, eat healthy, follow up",Gastroenterologist
Hepatitis D,"abdominal_pain, dark_urine, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin","consult doctor, medication, eat healthy, follow up",Gastroenterologist
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes","consult doctor, medication, eat healthy, follow up",Gastroenterologist
Hepatitis D,"abdominal_pain, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin","consult doctor, medication, eat healthy, follow up",Gastroenterologist
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, vomiting, yellowing_of_eyes, yellowish_skin","consult doctor, medication, eat healthy, follow up",Gastroenterologist
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin","consult doctor, medication, eat healthy, follow up",Gastroenterologist
Hepatitis D,"dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin","consult doctor, medication, eat healthy, follow up",Gastroenterologist
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowish_skin","consult doctor, medication, eat healthy, follow up",Gastroenterologist
Hepatitis E,"abdominal_pain, coma, dark_urine, fatigue, high_fever, joint_pain, loss_of_appetite, nausea, stomach_bleeding, vomiting, yellowing_of_eyes, yellowish_skin","stop alcohol consumption, rest, consult doctor, medication",Gastroenterologist
Hepatitis E,"abdominal_pain, acute_liver_failure, coma, dark_urine, fatigue, high_fever, joint_pain, loss_of_appetite, nausea, stomach_bleeding, vomiting, yellowing_of_eyes, yellowish_skin","stop alcohol consumption, rest, consult doctor, medication",Gastroenterologist
Hepatitis E,"abdominal_pain, acute_liver_failure, coma, dark_urine, fatigue, high_fever, joint_pain, loss_of_appetite, nausea, stomach_bleeding, vomiting, yellowing_of_eyes, yellowish_skin","stop alcohol consumption, rest, consult doctor, medication",Gastroenterologist
Hepatitis E,"abdominal_pain, acute_liver_failure, coma, dark_urine, fatigue, high_fever, loss_of_appetite, nausea, stomach_bleeding, vomiting, yellowing_of_eyes, yellowish_skin","stop alcohol consumption, rest, consult doctor, medication",Gastroenterologist
Hepatitis E,"abdominal_pain, acute_liver_failure, coma, dark_urine, fatigue, high_fever, joint_pain, loss_of_appetite, nausea, stomach_bleeding, yellowing_of_eyes, yellowish_skin","stop alcohol consumption, rest, consult doctor, medication",Gastroenterologist
Hepatitis E,"abdominal_pain, acute_liver_failure, coma, dark_urine, high_fever, joint_pain, loss_of_appetite, nausea, stomach_bleeding, vomiting, yellowing_of_eyes, yellowish_skin","stop alcohol consumption, rest, consult doctor, medication",Gastroenterologist
Hepatitis E,"abdominal_pain, acute_liver_failure, coma, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, stomach_bleeding, vomiting, yellowing_of_eyes, yellowish_skin","stop alcohol consumption, rest, consult doctor, medication",Gastroenterologist
Hepatitis E,"abdominal_pain, acute_liver_failure, coma, dark_urine, fatigue, high_fever, joint_pain, loss_of_appetite, nausea, stomach_bleeding, vomiting, yellowing_of_eyes","stop alcohol consumption, rest, consult doctor, medication",Gastroenterologist
Hepatitis E,"abdominal_pain, acute_liver_failure, coma, fatigue, high_fever, joint_pain, loss_of_appetite, nausea, stomach_bleeding, vomiting, yellowing_of_eyes, yellowish_skin","stop alcohol consumption, rest, consult doctor, medication",Gastroenterologist
Hepatitis E,"abdominal_pain, acute_liver_failure, coma, dark_urine, fatigue, high_fever, joint_pain, loss_of_appetite, stomach_bleeding, vomiting, yellowing_of_eyes, yellowish_skin","stop alcohol consumption, rest, consult doctor, medication",Gastroenterologist
Alcoholic Hepatitis,"abdominal_pain, distention_of_abdomen, fluid_overload, history_of_alcohol_consumption, swelling_of_stomach, vomiting, yellowish_skin","stop alcohol consumption, consult doctor, medication, follow up",Gastroenterologist
Alcoholic Hepatitis,"abdominal_pain, distention_of_abdomen, fluid_overload, history_of_alcohol_consumption, swelling_of_stomach, vomiting, yellowish_skin","stop alcohol consumption, consult doctor, medication, follow up",Gastroenterologist
Alcoholic Hepatitis,"abdominal_pain, distention_of_abdomen, fluid_overload, history_of_alcohol_consumption, swelling_of_stomach, yellowish_skin","stop alcohol consumption, consult doctor, medication, follow up",Gastroenterologist
Alcoholic Hepatitis,"abdominal_pain, distention_of_abdomen, fluid_overload, history_of_alcohol_consumption, swelling_of_stomach, vomiting","stop alcohol consumption, consult doctor, medication, follow up",Gastroenterologist
Alcoholic Hepatitis,"distention_of_abdomen, fluid_overload, history_of_alcohol_consumption, swelling_of_stomach, vomiting, yellowish_skin","stop alcohol consumption, consult doctor, medication, follow up",Gastroenterologist
Alcoholic Hepatitis,"abdominal_pain, distention_of_abdomen, fluid_overload, history_of_alcohol_consumption, vomiting, yellowish_skin","stop alcohol consumption, consult doctor, medication, follow up",Gastroenterologist
Alcoholic Hepatitis,"abdominal_pain, fluid_overload, history_of_alcohol_consumption, swelling_of_stomach, vomiting, yellowish_skin","stop alcohol consumption, consult doctor, medication, follow up",Gastroenterologist
Alcoholic Hepatitis,"abdominal_pain, distention_of_abdomen, fluid_overload, swelling_of_stomach, vomiting, yellowish_skin","stop alcohol consumption, consult doctor, medication, follow up",Gastroenterologist
Alcoholic Hepatitis,"abdominal_pain, distention_of_abdomen, history_of_alcohol_consumption, swelling_of_stomach, vomiting, yellowish_skin","stop alcohol consumption, consult doctor, medication, follow up",Gastroenterologist
Alcoholic Hepatitis,"abdominal_pain, distention_of_abdomen, fluid_overload, history_of_alcohol_consumption, swelling_of_stomach, vomiting, yellowish_skin","stop alcohol consumption, consult doctor, medication, follow up",Gastroenterologist
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes","cover mouth, consult doctor, medication, rest",Pulmonologist
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes","cover mouth, consult doctor, medication, rest",Pulmonologist
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes","cover mouth, consult doctor, medication, rest",Pulmonologist
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, weight_loss, yellowing_of_eyes","cover mouth, consult doctor, medication, rest",Pulmonologist
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes","cover mouth, consult doctor, medication, rest",Pulmonologist
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, yellowing_of_eyes","cover mouth, consult doctor, medication, rest",Pulmonologist
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes","cover mouth, consult doctor, medication, rest",Pulmonologist
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, fatigue, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes","cover mouth, consult doctor, medication, rest",Pulmonologist
Tuberculosis,"blood_in_sputum, chest_pain, chills, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes","cover mouth, consult doctor, medication, rest",Pulmonologist
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes","cover mouth, consult doctor, medication, rest",Pulmonologist
Common Cold,"chest_pain, chills, congestion, continuous_sneezing, cough, fatigue, headache, high_fever, loss_of_smell, malaise, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, swelled_lymph_nodes, throat_irritation","drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check",General Physician
Common Cold,"chest_pain, chills, congestion, continuous_sneezing, cough, fatigue, headache, high_fever, loss_of_smell, malaise, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, swelled_lymph_nodes, throat_irritation","drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check",General Physician
Common Cold,"chest_pain, chills, congestion, cough, fatigue, headache, high_fever, loss_of_smell, malaise, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, swelled_lymph_nodes, throat_irritation","drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check",General Physician
Common Cold,"chest_pain, congestion, continuous_sneezing, cough, fatigue, headache, high_fever, loss_of_smell, malaise, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, swelled_lymph_nodes, throat_irritation","drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check",General Physician
Common Cold,"chest_pain, chills, congestion, continuous_sneezing, cough, headache, high_fever, loss_of_smell, malaise, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, swelled_lymph_nodes, throat_irritation","drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check",General Physician
Common Cold,"chest_pain, chills, congestion, continuous_sneezing, fatigue, headache, high_fever, loss_of_smell, malaise, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, swelled_lymph_nodes, throat_irritation","drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check",General Physician
Common Cold,"chest_pain, chills, congestion, continuous_sneezing, cough, fatigue, headache, loss_of_smell, malaise, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, swelled_lymph_nodes, throat_irritation","drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check",General Physician
Common Cold,"chest_pain, chills, congestion, continuous_sneezing, cough, fatigue, high_fever, loss_of_smell, malaise, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, swelled_lymph_nodes, throat_irritation","drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check",General Physician
Common Cold,"chest_pain, chills, congestion, continuous_sneezing, cough, fatigue, headache, high_fever, loss_of_smell, malaise, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, throat_irritation","drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check",General Physician
Common Cold,"chest_pain, chills, congestion, continuous_sneezing, cough, fatigue, headache, high_fever, loss_of_smell, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, swelled_lymph_nodes, throat_irritation","drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check",General Physician
Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, fatigue, high_fever, malaise, rusty_sputum, sweating","consult doctor, medication, rest, follow up",Pulmonologist
Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, fatigue, high_fever, malaise, phlegm, rusty_sputum, sweating","consult doctor, medication, rest, follow up",Pulmonologist
Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, fatigue, high_fever, malaise, phlegm, rusty_sputum, sweating","consult doctor, medication, rest, follow up",Pulmonologist
Pneumonia,"breathlessness, chest_pain, cough, fast_heart_rate, fatigue, high_fever, malaise, phlegm, rusty_sputum, sweating","consult doctor, medication, rest, follow up",Pulmonologist
Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, high_fever, malaise, phlegm, rusty_sputum, sweating","consult doctor, medication, rest, follow up",Pulmonologist
Pneumonia,"breathlessness, chest_pain, chills, fast_heart_rate, fatigue, high_fever, malaise, phlegm, rusty_sputum, sweating","consult doctor, medication, rest, follow up",Pulmonologist
Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, fatigue, malaise, phlegm, rusty_sputum, sweating","consult doctor, medication, rest, follow up",Pulmonologist
Pneumonia,"chest_pain, chills, cough, fast_heart_rate, fatigue, high_fever, malaise, phlegm, rusty_sputum, sweating","consult doctor, medication, rest, follow up",Pulmonologist
Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, fatigue, high_fever, malaise, phlegm, rusty_sputum","consult doctor, medication, rest, follow up",Pulmonologist
Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, fatigue, high_fever, phlegm, rusty_sputum, sweating","consult doctor, medication, rest, follow up",Pulmonologist
Dimorphic Hemmorhoids(Piles),"bloody_stool, constipation, irritation_in_anus, pain_during_bowel_movements, pain_in_anal_region","avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",General Physician
Dimorphic Hemmorhoids(Piles),"bloody_stool, constipation, irritation_in_anus, pain_during_bowel_movements, pain_in_anal_region","avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",General Physician
Dimorphic Hemmorhoids(Piles),"bloody_stool, constipation, irritation_in_anus, pain_during_bowel_movements, pain_in_anal_region","avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",General Physician
Dimorphic Hemmorhoids(Piles),"bloody_stool, irritation_in_anus, pain_during_bowel_movements, pain_in_anal_region","avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",General Physician
Dimorphic Hemmorhoids(Piles),"bloody_stool, constipation, irritation_in_anus, pain_in_anal_region","avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",General Physician
Dimorphic Hemmorhoids(Piles),"bloody_stool, constipation, irritation_in_anus, pain_during_bowel_movements","avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",General Physician
Dimorphic Hemmorhoids(Piles),"constipation, irritation_in_anus, pain_during_bowel_movements, pain_in_anal_region","avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",General Physician
Dimorphic Hemmorhoids(Piles),"bloody_stool, constipation, pain_during_bowel_movements, pain_in_anal_region","avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",General Physician
Dimorphic Hemmorhoids(Piles),"bloody_stool, constipation, irritation_in_anus, pain_during_bowel_movements, pain_in_anal_region","avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",General Physician
Dimorphic Hemmorhoids(Piles),"bloody_stool, constipation, irritation_in_anus, pain_during_bowel_movements, pain_in_anal_region","avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",General Physician
Heart Attack,"breathlessness, chest_pain, sweating, vomiting","call ambulance, chew or swallow asprin, keep calm",Cardiologist
Heart Attack,"breathlessness, chest_pain, sweating, vomiting","call ambulance, chew or swallow asprin, keep calm",Cardiologist
Heart Attack,"breathlessness, chest_pain, sweating","call ambulance, chew or swallow asprin, keep calm",Cardiologist
Heart Attack,"chest_pain, sweating, vomiting","call ambulance, chew or swallow asprin, keep calm",Cardiologist
Heart Attack,"breathlessness, chest_pain, vomiting","call ambulance, chew or swallow asprin, keep calm",Cardiologist
Heart Attack,"breathlessness, sweating, vomiting","call ambulance, chew or swallow asprin, keep calm",Cardiologist
Heart Attack,"breathlessness, chest_pain, sweating, vomiting","call ambulance, chew or swallow asprin, keep calm",Cardiologist
Heart Attack,"breathlessness, chest_pain, sweating","call ambulance, chew or swallow asprin, keep calm",Cardiologist
Heart Attack,"chest_pain, sweating, vomiting","call ambulance, chew or swallow asprin, keep calm",Cardiologist
Heart Attack,"breathlessness, chest_pain, vomiting","call ambulance, chew or swallow asprin, keep calm",Cardiologist
Varicose Veins,"bruising, cramps, fatigue, obesity, prominent_veins_on_calf, swollen_blood_vessels, swollen_legs","lie down flat and raise the leg high, use oinments, use vein compression, dont stand still for long",General Physician
Varicose Veins,"bruising, cramps, fatigue, obesity, prominent_veins_on_calf, swollen_blood_vessels, swollen_legs","lie down flat and raise the leg high, use oinments, use vein compression, dont stand still for long",General Physician
Varicose Veins,"bruising, cramps, obesity, prominent_veins_on_calf, swollen_blood_vessels, swollen_legs","lie down flat and raise the leg high, use oinments, use vein compression, dont stand still for long",General Physician
